district,school,school_id,e_pct_me_21,pct_poverty_21,e_pct_me_17,change_over_time,percent_change_over_time
"Charleston
County School
District","North Charleston
Elementary",1001067,14.3,91.30434782608695,15.299999999999999,-0.9999999999999982,-6.53594771241829
"Rock Hill School
District (York 3)",Mt. Gallant Elementary,4603037,48.6,56.71981776765376,52,-3.3999999999999986,-6.538461538461536
"The School
District Of
Greenville
County","Chandler Creek Elementary
School",2301109,36,79.35135135135135,38.7,-2.700000000000003,-6.976744186046519
"School District
Of Oconee
County","Blue Ridge Elementary
School",3701031,25.2,83.91003460207612,27.099999999999998,-1.8999999999999986,-7.011070110701103
"Charleston
County School
District","Edith L. Frierson
Elementary",1001075,15.9,69.93006993006993,17.1,-1.200000000000001,-7.017543859649128
"Horry County
Schools",Midland Elementary School,2601033,51.1,65.49815498154982,55,-3.8999999999999986,-7.090909090909088
"Berkeley County
School District","Whitesville Elementary
School",0801030,40.4,68.12045690550363,43.599999999999994,-3.1999999999999957,-7.339449541284394
"Georgetown
County School
District","Pleasant Hill Elementary
School",2201012,39.6,76.12456747404845,42.8,-3.1999999999999957,-7.476635514018683
"Edgefield
County School
District","W. E. Parker Elementary
School",1901007,36.7,71.28712871287128,39.7,-3,-7.556675062972292
"Chesterfield
County School
District",Mcbee Elementary,1301020,37.6,72.91666666666666,40.7,-3.1000000000000014,-7.61670761670762
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,48.5,64.47368421052632,52.5,-4,-7.6190476190476195
"Richland School
District One","William S. Sandel
Elementary School",4001059,18.8,93.75,20.4,-1.5999999999999979,-7.843137254901951
"Berkeley County
School District","Devon Forest Elementary
School",0801039,34.8,73.96449704142012,37.8,-3,-7.936507936507938
"School District
Of Oconee
County","Walhalla Elementary
School",3701022,45.3,63.17567567567568,49.3,-4,-8.113590263691684
"Georgetown
County School
District","Waccamaw Intermediate
School",2201029,56.1,50.47846889952153,61.2,-5.100000000000001,-8.333333333333336
"Richland School
District Two",Bookman Road Elementary,4002087,51.3,54.96957403651116,56,-4.700000000000003,-8.392857142857148
"Horry County
Schools","Green Sea Floyds
Elementary School",2601023,47.7,79.70204841713222,52.3,-4.599999999999994,-8.795411089866146
"Fairfield County
School District","Kelly Miller Elementary
School",2001008,27.9,91.66666666666666,30.6,-2.700000000000003,-8.823529411764715
"Lexington
County School
District One",Pelion Elementary School,3201008,24.1,80.30050083472455,26.5,-2.3999999999999986,-9.0566037735849
"York School
District One",York Intermediate School,4601048,30.1,72.0125786163522,33.1,-3,-9.06344410876133
"Darlington
County School
District","Brockington Elementary
Magnet School",1601013,32,87.09677419354838,35.2,-3.200000000000003,-9.090909090909099
"Lexington
County School
District Three","Batesburg-Leesville
Elementary School",3203028,26.1,75.7085020242915,28.8,-2.6999999999999993,-9.374999999999996
"Richland School
District Two",Catawba Trail Elementary,4002101,40.8,52.09471766848816,45.1,-4.300000000000004,-9.534368070953446
"Anderson
School District
Five","Calhoun Academy Of The
Arts",0405060,37.9,74.79674796747967,42,-4.100000000000001,-9.761904761904765
"Cherokee
County School
District 1","Limestone Central
Elementary School",1101021,31.7,83.12883435582822,35.2,-3.5000000000000036,-9.943181818181827
"Chester County
School District","Chester Park Center Of
Literacy Through
Technology",1201021,16.2,90.58171745152355,18,-1.8000000000000007,-10.000000000000004
"Spartanburg
School District
Two",Mayo Elementary School,4202023,45.6,69.28104575163398,50.7,-5.100000000000001,-10.059171597633139
"Florence School
District Three","Scranton Elementary
Steam Academy",2103039,29.4,82.1882951653944,32.7,-3.3000000000000043,-10.091743119266066
"Aiken County
Public School
District",Jefferson Elementary,0201005,34.6,72.34432234432234,38.5,-3.8999999999999986,-10.129870129870126
"Spartanburg
County School
District Six","Fairforest Elementary
School",4206058,33,71.19113573407202,36.9,-3.8999999999999986,-10.569105691056906
"Richland School
District Two",Pontiac Elementary School,4002081,35.7,67.3374613003096,40.099999999999994,-4.3999999999999915,-10.972568578553595
"Lee County
School District",Lower Lee Elementary,3101011,15.2,94.0828402366864,17.1,-1.9000000000000021,-11.111111111111123
"Greenwood
School District
50",Merrywood Elementary,2450012,38.2,74.0530303030303,43,-4.799999999999997,-11.162790697674412
"South Carolina
Public Charter
School District","Pee Dee Math, Science,
And Technology Academy",4701029,24.6,81.7258883248731,27.8,-3.1999999999999993,-11.510791366906473
"Dorchester
School District
Two","James H. Spann
Elementary School",1802010,45.1,63.99317406143344,51,-5.899999999999999,-11.56862745098039
"School District
Of Newberry
County","Pomaria-Garmany
Elementary School",3601009,32.6,68.84735202492212,36.900000000000006,-4.300000000000004,-11.65311653116532
Sumter Schools,"Millwood Elementary
School",4301033,40.6,64.09155937052932,46.1,-5.5,-11.93058568329718
"School District
Five Of
Lexington &
Richland Count","Nursery Road Elementary
School-Arts Magnet",3205047,43.5,70,49.5,-6,-12.121212121212121
"Greenwood
School District
50","Eleanor S. Rice Elementary
School",2450008,27.5,87.47433264887063,31.3,-3.8000000000000007,-12.140575079872207
"Horry County
Schools",Loris Elementary,2601032,28.7,85.54987212276215,32.7,-4.0000000000000036,-12.232415902140682
"School District
Of Oconee
County","James M. Brown
Elementary School",3701016,27.8,75.88532883642496,31.8,-4,-12.578616352201259
"Lexington
County School
District One",Forts Pond Elementary,3201064,24.9,80.38095238095238,28.5,-3.6000000000000014,-12.631578947368427
"The School
District Of
Greenville
County","Brook Glenn Elementary
School",2301030,39,76.39902676399026,44.8,-5.799999999999997,-12.946428571428568
"Ware Shoals
School District
51","Ware Shoals Primary
School",2451022,34.9,77.97927461139896,40.1,-5.200000000000003,-12.967581047381552
"School District
Of Pickens
County",Pickens Elementary,3901025,35.2,73.34630350194551,40.5,-5.299999999999997,-13.086419753086412
"School District
Five Of
Lexington &
Richland Count",Dutch Fork Elementary,3205042,35.5,69.76744186046511,41.099999999999994,-5.599999999999994,-13.62530413625303
"Charleston
County School
District",Ladson Elementary,1001050,23.1,78.19277108433735,26.799999999999997,-3.6999999999999957,-13.805970149253715
"Marion County
School District","Mccormick Elementary
School",3410010,15.6,93.61022364217251,18.1,-2.5000000000000018,-13.812154696132605
"School District
Five Of
Lexington &
Richland Count","Seven Oaks Elementary
School Media Magnet",3205045,29.1,84.472049689441,33.8,-4.699999999999996,-13.90532544378697
"Calhoun County
Schools",Sany Run School,0901008,29.7,72.21238938053098,34.5,-4.800000000000001,-13.913043478260873
"Darlington
County School
District",North Hartsville Elementary,1601017,36.7,72.79411764705883,42.7,-6,-14.05152224824356
"Dorchester
School District
Two","Flowertown Elementary
School",1802014,47.5,61.458333333333336,55.400000000000006,-7.900000000000006,-14.259927797833944
"Abbeville
County School
District",Westwood Elementary,0160017,44.2,77.0392749244713,51.599999999999994,-7.3999999999999915,-14.341085271317814
"Greenwood
School District
50","Lakeview Elementary
School",2450009,40.2,67.94871794871796,47,-6.799999999999997,-14.468085106382972
"Beaufort County
School District","Beaufort Elementary
School",0701008,38.5,77.15053763440861,45.2,-6.700000000000003,-14.823008849557528
"Charleston
County School
District","Charleston Development
Academy",1001612,34.9,82.92682926829268,41,-6.100000000000001,-14.878048780487807
"Florence One
Schools","Carver Elementary Magnet
School",2101009,42.7,59.50704225352113,50.2,-7.5,-14.940239043824699
"Dorchester
School District
Two","Windsor Hill Arts Infused
Elementary",1802019,36.7,75.80645161290323,43.4,-6.699999999999996,-15.43778801843317
"Chesterfield
County School
District","Plainview Elementary
School",1301021,48.2,62.14689265536724,57.099999999999994,-8.899999999999991,-15.586690017513122
"Rock Hill School
District (York 3)",Northside Elementary,4603029,33.1,73.04964539007092,39.3,-6.199999999999996,-15.776081424936377
"Lexington
County School
District One",White Knoll Elementary,3201049,35.5,66.12903225806451,42.2,-6.700000000000003,-15.87677725118484
"Anderson
School District
Two",Wright Elementary School,0402021,58.7,56.59340659340659,70,-11.299999999999997,-16.14285714285714
"Berkeley County
School District","Boulder Bluff Elementary
School",0801014,34.4,70.57926829268293,41.1,-6.700000000000003,-16.301703163017038
"Florence School
District Three",Main Street Elementary,2103051,13.2,97.02702702702702,15.8,-2.6000000000000014,-16.45569620253165
"Calhoun County
Schools",St. Matthews K8,0901009,21.2,84.74295190713102,25.4,-4.199999999999999,-16.53543307086614
"Abbeville
County School
District",Diamond Hill Elementary,0160019,41.3,67.84565916398714,49.5,-8.200000000000003,-16.56565656565657
"Richland School
District Two",Bridge Creek Elementary,4002096,31.4,68.73920552677029,37.7,-6.300000000000004,-16.710875331565
"School District
Five Of
Lexington &
Richland Count",Harbison West Elementary,3205048,45.3,74.27101200686106,54.4,-9.100000000000001,-16.727941176470594
"Florence One
Schools","Palmetto Youth Academy
Charter",2101600,18.2,94.20289855072464,22,-3.8000000000000007,-17.272727272727277
"Marlboro
County School
District","Mccoll Elementary Middle
School",3501020,22.1,80.83462132921174,26.8,-4.699999999999999,-17.53731343283582
"Charleston
County School
District",Pinehurst Elementary,1001112,13.5,81.18131868131869,16.4,-2.8999999999999986,-17.682926829268286
"Lexington
County School
District One","Oak Grove Elementary
School",3201009,40.3,59.307359307359306,49,-8.700000000000003,-17.755102040816332
"Georgetown
County School
District","Kensington Elementary
School",2201014,30.5,69.24603174603175,37.1,-6.600000000000001,-17.789757412398924
"School District
Five Of
Lexington &
Richland Count","Leaphart Elementary
School Steam Magnet",3205044,29.9,72.54464285714286,36.400000000000006,-6.500000000000007,-17.857142857142875
"Dorchester
School District
Two","Dr. Eugene Sires
Elementary",1802030,46.5,63.1578947368421,56.7,-10.200000000000003,-17.989417989417994
"The School
District Of
Greenville
County",Alexander Elementary,2301028,17.7,92.73743016759776,21.6,-3.900000000000002,-18.055555555555564
"School District
Of Pickens
County",Hagood Elementary School,3901032,38.4,72.44897959183673,47,-8.600000000000001,-18.297872340425535
"Rock Hill School
District (York 3)","York Road Elementary
School",4603035,26.7,76.39902676399026,32.7,-6.0000000000000036,-18.34862385321102
Sumter Schools,Crosswell Drive Elementary,4301029,14.2,95.59082892416225,17.4,-3.1999999999999993,-18.390804597701145
"Lexington
County School
District One","Saxe Gotha Elementary
School",3201052,40.8,67.93557833089312,50,-9.200000000000003,-18.400000000000006
"Dorchester
District Four","Harleyville Elementary
School",1804016,16.3,83.88429752066115,20,-3.6999999999999993,-18.499999999999996
"Florence County
School District 2","Hannah-Pamplico
Elementary/Middle Schoo",2102028,25.8,71.86700767263427,31.700000000000003,-5.900000000000002,-18.611987381703475
"Florence School
District Three","J. C. Lynch Elementary
School",2103036,31.3,86.18090452261306,38.599999999999994,-7.299999999999994,-18.91191709844558
Lancaster,Erwin Elementary School,2901017,18.3,88.55140186915888,22.599999999999998,-4.299999999999997,-19.02654867256636
"Dorchester
School District
Two","Knightsville Elementary
School",1802007,46.2,50.63091482649842,57.1,-10.899999999999999,-19.089316987740805
"Richland School
District Two","Summit Parkway Middle
School",4002082,57.3,55.02599653379549,71,-13.700000000000003,-19.295774647887328
"Richland School
District Two","Polo Road Elementary
School",4002094,28.4,68.56187290969899,35.2,-6.800000000000004,-19.318181818181827
"Dorchester
District Four","Williams Memorial
Elementary School",1804018,33.3,74.91289198606272,41.3,-8,-19.370460048426153
"Spartanburg
County School
District Six","Woodland Heights
Elementary School",4206067,23.3,85.23316062176166,29,-5.699999999999999,-19.6551724137931
"Dorchester
School District
Two","Oakbrook Elementary
School",1802017,39.9,65.49520766773162,49.7,-9.800000000000004,-19.718309859154935
"Florence One
Schools","Henry Timrod Elementary
School",2101020,31.7,90.81081081081082,39.5,-7.800000000000001,-19.746835443037977
"Rock Hill School
District (York 3)",Sunset Park,4603033,41.1,65.70048309178745,51.400000000000006,-10.300000000000004,-20.038910505836583
"Richland School
District Two",Rice Creek Elementary,4002083,34,68.54838709677419,42.6,-8.600000000000001,-20.187793427230048
"Richland School
District One",Meadowfield Elementary,4001046,33.8,73.5973597359736,42.4,-8.600000000000001,-20.283018867924532
"Dorchester
School District
Two","Eagle Nest Elementary
School",1802024,37.9,65.49295774647888,47.599999999999994,-9.699999999999996,-20.378151260504197
"Florence One
Schools","Greenwood Elementary
School",2101011,36.2,79.52871870397644,45.6,-9.399999999999999,-20.614035087719294
Lancaster,Clinton Elementary School,2901015,11.5,91.33192389006342,14.5,-3,-20.689655172413794
"Richland School
District One","Mill Creek Elementary
School",4001047,21.5,89.74358974358975,27.2,-5.699999999999999,-20.955882352941174
"Chesterfield
County School
District","Jefferson Elementary
School",1301015,30.5,75.88235294117646,38.6,-8.100000000000001,-20.984455958549226
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,31.7,85.29411764705883,40.199999999999996,-8.499999999999996,-21.144278606965166
"Rock Hill School
District (York 3)","Richmond Drive
Elementary",4603031,42.7,74.42455242966753,54.3,-11.599999999999994,-21.36279926335174
"Berkeley County
School District","Westview Elementary
School",0801031,46.1,50.559701492537314,59,-12.899999999999999,-21.864406779661014
"Spartanburg
School District
One","Campobello-Gramling
School",4201006,49.1,52.34270414993306,63,-13.899999999999999,-22.06349206349206
"Rock Hill School
District (York 3)","Rosewood Elementary
School",4603032,27.1,81.84019370460048,34.9,-7.799999999999997,-22.34957020057306
"Richland School
District One",Pine Grove Elementary,4001090,17.1,93.77358490566039,22.1,-5,-22.62443438914027
"Spartanburg
School District
Three","Cannons Elementary
School",4203028,42.8,77.491961414791,55.4,-12.600000000000001,-22.743682310469318
"Laurens County
School District
55",Waterloo Elementary,3055014,24.1,82.92682926829268,31.3,-7.199999999999999,-23.00319488817891
"Colleton County
School District","Hendersonville Elementary
School",1501021,14.7,93.82716049382715,19.1,-4.400000000000002,-23.036649214659697
"Lexington
County School
District One","Carolina Springs
Elementary School",3201062,34.5,59.456264775413715,45.099999999999994,-10.599999999999994,-23.503325942350322
"Laurens County
School District
55",Laurens Elementary School,3055011,25.4,73.30827067669173,33.300000000000004,-7.900000000000006,-23.72372372372374
"Lexington
County School
District One","Lexington Elementary
School",3201007,35.4,57.230769230769226,46.7,-11.300000000000004,-24.19700214132763
"Charleston
County School
District","North Charleston Creative
Arts Elementary",1001114,26.5,67.61133603238866,35,-8.5,-24.285714285714285
"Lexington
County School
District One",Gilbert Elementary School,3201005,26.8,66.04708798017349,35.5,-8.7,-24.507042253521124
"Georgetown
County School
District",Maryville Elementary,2201015,24.1,83.33333333333334,32,-7.899999999999999,-24.687499999999996
"Lee County
School District","West Lee Elementary
School",3101012,14.3,93.4959349593496,19,-4.699999999999999,-24.736842105263154
"School District
Of Newberry
County","Gallman Elementary
School",3601008,16.4,84.3010752688172,21.8,-5.400000000000002,-24.77064220183487
"Beaufort County
School District",Whale Branch Elementary,0701023,20.3,93.00518134715026,27,-6.699999999999999,-24.814814814814813
"Williamsburg
County School
District","Greeleyville Elementary
School",4501017,26.8,89.03225806451613,35.7,-8.900000000000002,-24.929971988795522
"Florence One
Schools","Theodore Lester
Elementary",2101013,21.3,91.91919191919192,28.4,-7.099999999999998,-24.999999999999993
"Richland School
District Two","Killian Elementary Steam
Leaders Magnet",4002086,23.7,79.44444444444444,31.700000000000003,-8.000000000000004,-25.23659305993692
"The School
District Of
Greenville
County",Duncan Chapel Elementary,2301051,28.1,83.47529812606473,37.7,-9.600000000000001,-25.46419098143236
"School District
Of Oconee
County","Orchard Park Elementary
School",3701028,32.4,80.13392857142857,43.5,-11.100000000000001,-25.517241379310345
"Greenwood
School District
50",Woodfields Elementary,2450018,25.3,91.73228346456693,34.1,-8.8,-25.806451612903224
Sumter Schools,Lemira Elementary School,4301031,11.6,95.94272076372316,15.8,-4.200000000000001,-26.58227848101266
"Jasper County
School District","Hardeeville Elementary
School",2701010,15.1,79.2604501607717,20.6,-5.500000000000002,-26.699029126213595
"The School
District Of
Greenville
County",Cherrydale Elementary,2301114,18.8,93.01948051948052,25.700000000000003,-6.900000000000002,-26.848249027237358
"Berkeley County
School District","Berkeley Intermediate
School",0801041,26.5,75.3646677471637,36.4,-9.899999999999999,-27.197802197802197
Sumter Schools,"Kingsbury Elementary
School",4301041,20,74.78632478632478,27.8,-7.800000000000001,-28.057553956834536
"Charleston
County School
District","Matilda F. Dunston
Elementary",1001072,14.9,81.60621761658031,20.8,-5.9,-28.365384615384613
"Mccormick
County School
District","Mccormick Elementary
School",3301003,15.4,89.54703832752612,21.5,-6.1,-28.37209302325581
"The School
District Of
Greenville
County",Hollis Academy,2301061,22.1,94.84702093397746,30.9,-8.799999999999997,-28.478964401294494
"Anderson
School District
Five","Whitehall Elementary
School",0405059,30.9,84.95049504950495,43.3,-12.399999999999999,-28.637413394919164
"Spartanburg
School District
Seven",Meeting Street Academy,4207200,62.3,87.8048780487805,88.30000000000001,-26.000000000000014,-29.44507361268404
"Rock Hill School
District (York 3)",Ebinport Elementary,4603023,31.4,73.98843930635837,44.8,-13.399999999999999,-29.910714285714285
"Richland School
District Two","L.W. Conder Elementary
Arts Integrated Magnet
School",4002073,20.5,86.30393996247655,29.299999999999997,-8.799999999999997,-30.034129692832757
"School District
Of Pickens
County",Six Mile Elementary,3901027,39.8,61.49068322981367,56.9,-17.1,-30.05272407732865
"Barnwell School
District 19","Macedonia
Elementary/Middle School",0619003,14.4,92.56410256410257,20.6,-6.200000000000001,-30.09708737864078
Sumter Schools,"Cherryvale Elementary
School",4301008,15.5,86.54173764906304,22.299999999999997,-6.799999999999997,-30.49327354260089
"Florence School
District Three","Olanta Creative Arts And
Science Magnet School",2103037,16.2,91.43968871595331,23.4,-7.199999999999999,-30.769230769230766
"Florence One
Schools",Wallace Gregg Elementary,2101021,19.9,91.3946587537092,28.799999999999997,-8.899999999999999,-30.902777777777775
"Dillon School
District Four",Gordon Elementary School,1704009,16.2,94.24778761061947,23.6,-7.400000000000002,-31.355932203389834
"Charleston
County School
District",W.B. Goodwin Elementary,1001042,12.8,84.43271767810026,18.900000000000002,-6.100000000000001,-32.27513227513228
"Berkeley County
School District","College Park Elementary
School",0801017,25.4,79.22374429223744,37.7,-12.300000000000004,-32.62599469496022
"Georgetown
County School
District","Andrews Elementary
School",2201008,19.2,80.96551724137932,28.599999999999998,-9.399999999999999,-32.86713286713287
"Colleton County
School District",Bells Elementary School,1501006,14.6,88.71473354231975,21.9,-7.299999999999999,-33.33333333333333
Sumter Schools,"Manchester Elementary
School",4301014,18.1,89.12466843501326,27.2,-9.099999999999998,-33.45588235294117
"Richland School
District One","Forest Heights Elementary
School",4001093,13,91.45077720207254,19.6,-6.600000000000001,-33.673469387755105
"Berkeley County
School District","Hanahan Elementary
School",0801044,40.9,70.08797653958945,62,-21.1,-34.03225806451613
Hampton 2,Estill Elementary,2502017,15.8,93.95973154362416,24,-8.2,-34.166666666666664
"School District
Of Newberry
County","Newberry Elementary
School",3601018,14.1,90.49881235154395,21.6,-7.500000000000002,-34.72222222222223
"Laurens County
School District
55","E. B. Morse Elementary
School",3055010,18.3,82.07964601769912,28.2,-9.899999999999999,-35.1063829787234
"Berkeley County
School District","Sangaree Intermediate
School",0801038,28.9,72.72727272727273,44.6,-15.700000000000003,-35.201793721973104
"Charleston
County School
District",Chicora Elementary,1001033,5.3,97.30538922155688,8.2,-2.8999999999999995,-35.36585365853659
"Richland School
District One","John P Thomas
Elementary",4001062,14.9,94.49035812672176,23.2,-8.299999999999999,-35.775862068965516
"Lee County
School District",Dennis Es,3101007,11.3,95.83333333333334,17.7,-6.399999999999999,-36.158192090395474
"Richland School
District One",Hb Rhame Elementary,4001060,20.3,90.40816326530611,31.9,-11.599999999999998,-36.36363636363636
"Georgetown
County School
District","Mcdonald Elementary
School",2201016,17.2,87.07482993197279,27.599999999999998,-10.399999999999999,-37.68115942028985
"Cherokee
County School
District 1","B. D. Lee Elementary
School",1101015,16.8,90.44776119402985,27.6,-10.8,-39.130434782608695
"South Carolina
Public Charter
School District","Lead Academy Public
Charter School",4701036,26.7,64.6766169154229,43.9,-17.2,-39.17995444191344
"Georgetown
County School
District","Brown's Ferry Elementary
School",2201009,16.9,92.95774647887323,28,-11.100000000000001,-39.642857142857146
"Richland School
District One","A.J. Lewis Greenview
Elementary",4001038,17.3,91.1854103343465,28.9,-11.599999999999998,-40.13840830449826
"Richland School
District One",Hyatt Park Elementary,4001042,6.6,96.74185463659147,11.299999999999999,-4.699999999999999,-41.5929203539823
"Richland School
District One","Horrell Hill Elementary
School",4001041,18.3,83.97683397683397,32.6,-14.3,-43.86503067484663
"Charleston
County School
District",Meeting Street Elementary,1001200,15.9,89.78240302743615,28.799999999999997,-12.899999999999997,-44.79166666666666
"The School
District Of
Greenville
County",Westcliffe Elementary,2301098,23.7,86.42384105960265,46,-22.3,-48.47826086956522
"Williamsburg
County School
District","Kenneth Gardner
Elementary School",4501021,13.1,94.05099150141642,25.5,-12.4,-48.627450980392155
"Darlington
County School
District","Thornwell School For The
Arts",1601027,11.7,92.64069264069265,23.1,-11.400000000000002,-49.350649350649356
"Charleston
County School
District",Stono Park Elementary,1001085,20.9,89.71291866028707,42.5,-21.6,-50.82352941176471
"Charleston
County School
District",A.C. Corcoran Elementary,1001036,16.1,84.29394812680115,33.3,-17.199999999999996,-51.65165165165164
"Richland School
District One",Arden Elementary School,4001020,10.9,91.91489361702128,22.6,-11.700000000000001,-51.76991150442478
"Georgetown
County School
District",Plantersville Elementary,2201020,5.7,98.52941176470588,11.899999999999999,-6.199999999999998,-52.100840336134446
"Georgetown
County School
District",Sampit Elementary,2201023,14.5,90.71428571428571,31.2,-16.7,-53.52564102564102
"Richland School
District One","South Kilbourne
Elementary",4001055,14.8,90.9090909090909,34.9,-20.099999999999998,-57.59312320916905
Sumter Schools,Willow Drive Elementary,4301039,11.9,89.74358974358975,31.6,-19.700000000000003,-62.341772151898745
"Bamberg
School District 2",Denmark Olar Elementary,0502010,12,97.15189873417721,32.4,-20.4,-62.96296296296296
"Edgefield
County School
District","Douglas Elementary
School",1901003,10,89.39393939393939,27.5,-17.5,-63.63636363636363
Lancaster,"Brooklyn Springs
Elementary",2901011,6.5,93.28358208955224,18,-11.5,-63.888888888888886
"Charleston
County School
District",Mitchell Elementary,1001060,8.5,95.05703422053232,25.2,-16.7,-66.26984126984127
"Charleston
County School
District",E.B. Ellington Elementary,1001059,6.6,87.61609907120743,20,-13.4,-67
Sumter Schools,"Rafting Creek Elementary
School",4301017,12.2,90.1639344262295,43.400000000000006,-31.200000000000006,-71.889400921659
Sumter Schools,"R.E. Davis College
Preparatory Academy",4301010,4.8,92.96482412060301,20.3,-15.5,-76.35467980295566
