id,name,type
0629008,Williston Elko Middle School,school
0645009,Barnwell High School,school
0645010,Guinyard Butler Middle,school
0645012,Barnwell Elementary School,school
0701001,Lady's Island Middle School,school
0701002,Beaufort High School,school
0701003,Hilton Head Island High School,school
0701004,"Battery Creek High School, Beaufort County School District",school
0701008,Beaufort Elementary School,school
0701009,Hilton Head Island Middle School,school
0701010,Broad River Elementary School,school
0701014,Lady's Island Elementary,school
0701015,Mossy Oaks Elementary School,school
0701016,Port Royal Elementary School,school
0701017,Michael C. Riley Elementary And Early Childhood Center,school
0701020,St. Helena Elementary School,school
0701022,Joseph S. Shanklin Elementary,school
0701023,Whale Branch Elementary,school
0701024,Bluffton Elementary,school
0701025,Coosa Elementary School,school
0701026,H. E. Mccracken Middle School,school
0701027,Whale Branch Middle School,school
0701028,Beaufort Middle School,school
0701029,Okatie Elementary,school
0701030,Bluffton High School,school
0701032,Hilton Head Island Elementary School For The Creative Arts,school
0701033,Hilton Head Island Elementary School,school
0701034,Red Cedar Elementary,school
0701035,Bluffton Middle School,school
0701036,Whale Branch Early College High School,school
0701037,Pritchardville Elementary School,school
0701038,River Ridge Academy,school
0701039,May River High,school
0701040,Robert Smalls International Academy,school
0701601,Riverview Charter School,school
0801001,Stratford High,school
0801002,Berkeley High,school
0801006,Cross High School,school
0801007,Goose Creek High,school
0801008,Hanahan High,school
0801012,Berkeley Middle School,school
0801014,Boulder Bluff Elementary School,school
0801015,Cainhoy Elementary School,school
0801016,Cross Elementary,school
0801017,College Park Elementary School,school
0801020,J. K. Gourdin Elementary,school
0801021,Hanahan Middle,school
0801022,Westview Middle School,school
0801024,H. E. Bonner Elementary,school
0801027,Sedgefield Middle School,school
0801028,St. Stephen Elementary,school
0801029,St. Stephen Middle School,school
0801030,Whitesville Elementary School,school
0801031,Westview Elementary School,school
0801032,College Park Middle,school
0801033,Marrington Elementary School,school
0801034,Marrington Middle School Of The Arts,school
0801036,Howe Hall Arts Infused Magnet School,school
0801037,Macedonia Middle,school
0801038,Sangaree Intermediate School,school
0801039,Devon Forest Elementary School,school
0801040,Mount Holly Elementary,school
0801041,Berkeley Intermediate School,school
0801043,Timberland High School,school
0801044,Hanahan Elementary School,school
0801046,Goose Creek Elementary,school
0801047,Sangaree Middle School,school
0801048,Daniel Island School,school
0801049,Cane Bay High School,school
0801050,Cane Bay Elementary School,school
0801051,Berkeley County Middle College High,school
0801052,Cane Bay Middle School,school
0801053,Nexton Elementary,school
0801054,Philip Simmons Elementary,school
0801055,Philip Simmons Middle School,school
0801056,Philip Simmons High School,school
0801057,Bowen's Corner Elementary,school
0801058,Foxbank Elementary School,school
0901001,Calhoun County High School,school
0901008,Sany Run School,school
0901009,St. Matthews K8,school
1001001,Baptist Hill Middle High School,school
1001002,North Charleston High,school
1001010,Burke High,school
1001014,Wando High,school
1001018,Military Magnet Academy,school
1001020,St. Johns High,school
1001022,R.B. Stall High,school
1001030,Northwoods Middle,school
1001033,Chicora Elementary,school
1001036,A.C. Corcoran Elementary,school
1001039,Jane Edwards Elementary,school
1001042,W.B. Goodwin Elementary,school
1001043,Harbor View Elementary,school
1001044,Haut Gap Middle School,school
1001045,Minnie Hughes Elementary,school
1001046,Hunley Park Elementary,school
1001050,Ladson Elementary,school
1001051,Laing Middle,school
1001052,Lambs Elementary,school
1001056,St. James Santee Elementary-Middle,school
1001057,Memminger Elementary,school
1001059,E.B. Ellington Elementary,school
1001060,Mitchell Elementary,school
1001061,Jennie Moore Elementary,school
1001062,Morningside Middle,school
1001063,Mt. Pleasant Academy,school
1001065,Moultrie Middle,school
1001066,Murray-Lasaine Montessori,school
1001067,North Charleston Elementary,school
1001068,Oakland Elementary,school
1001070,Malcolm C. Hursey Montessori,school
1001072,Matilda F. Dunston Elementary,school
1001075,Edith L. Frierson Elementary,school
1001076,Sanders-Clyde Elementary,school
1001077,Pepperhill Elementary,school
1001079,James Simons Montessori,school
1001081,Springfield Elementary,school
1001082,St. Andrew's School Of Math And Science,school
1001083,Angel Oak Elementary,school
1001084,Stiles Point Elementary,school
1001085,Stono Park Elementary,school
1001086,Sullivan's Island Elementary,school
1001090,Mamie P. Whitesides Elementary,school
1001091,Ashley River Creative Arts Elementary,school
