school_id,district,school,total_actively_enrolled_students,gender_female,gender_male,gender_missing,black_or_african_american,white,pupils_in_poverty,year,all_other_races
0403027,Anderson 03,Flat Rock Elem.,380,184,196,0,42,285,301,2021,53
0404027,Anderson 04,Pendleton High,811,384,427,0,116,620,417,2021,75
0404029,Anderson 04,Riverside Middle,453,203,250,0,78,332,257,2021,43
0404031,Anderson 04,La France Elem,387,195,192,0,51,289,235,2021,47
0404034,Anderson 04,Pendleton Elem,345,174,171,0,95,172,259,2021,78
0404036,Anderson 04,Townville Elem,264,137,127,0,9,240,180,2021,15
0404037,Anderson 04,Mt Lebanon Elem,454,212,242,0,38,373,225,2021,43
0405038,Anderson 05,T L Hanna High,1882,966,916,0,481,1143,835,2021,258
0405040,Anderson 05,McCants Middle School,619,291,328,0,152,380,316,2021,87
0405044,Anderson 05,Centerville Elementary School,645,287,358,0,190,329,511,2021,126
0405045,Anderson 05,Concord Elem,555,278,277,0,102,344,280,2021,109
0405047,Anderson 05,Homeland Park Primary,443,216,227,0,189,108,411,2021,146
0405048,Anderson 05,Westside High,1612,779,833,0,582,738,1111,2021,292
0405050,Anderson 05,Nevitt Forest Elementary,517,259,258,0,332,98,485,2021,87
0405051,Anderson 05,New Prospect Elementary,465,226,239,0,191,178,414,2021,96
0405055,Anderson 05,Varennes Elementary,341,171,170,0,163,83,316,2021,95
0405059,Anderson 05,Whitehall Elem,505,238,267,0,218,173,429,2021,114
0405060,Anderson 05,Calhoun Academy Of The Arts,492,245,247,0,220,170,368,2021,102
0405061,Anderson 05,Midway Elementary,700,331,369,0,100,503,292,2021,97
0405062,Anderson 05,McLees Elementary,576,295,281,0,124,359,413,2021,93
0405063,Anderson 05,Robert Anderson Middle,1296,594,702,0,512,524,1057,2021,260
0405064,Anderson 05,Glenview Middle,748,343,405,0,270,364,423,2021,114
0405065,Anderson 05,Southwood Academy of the Arts,372,254,118,0,73,246,202,2021,53
0405066,Anderson 05,North Pointe Elem,550,250,300,0,84,371,239,2021,95
0405601,Anderson 05,Anderson Five Charter,71,41,30,0,9,54,44,2021,8
0405800,Anderson 05,West Market School of Early Ed.,189,91,98,0,81,61,172,2021,47
