ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,StudentsinPoverty_PctCurrYr,StudentsinPoverty_PctLastYr,TCHSALARY_AvgCurrYr,TCHSALARY_AvgLastYr,ExpendforInstruct_PctCurrYr,ExpendforInstruct_PctLastYr,ExpendforTchSalaries_PctCurrYr,ExpendforTchSalaries_PctLastYr,AdminSalary_CurrYr,AdminSalary_LastYr,StateLocalPersonnelPPE_CurrYr,StateLocalPersonnelPPE_LastYr,FedPersonnelPPE_CurrYr,FedPersonnelPPE_LastYr,StateLocalNonPersPPE_CurrYr,StateLocalNonPersPPE_LastYr,FederalNonPersonnelPPE_CurrYr,FederalNonPersonnelPPE_LastYr,TotalStateLocalPPE_CurrYr,TotalStateLocalPPE_LastYr,TotalFederalPPE_CurrYr,TotalFederalPPE_LastYr,TotalPPE_CurrYr,TotalPPE_LastYr
2019,Aiken County Public School District,Wagener-Salley High School,0201015,H,71.54,73.7,"$51,370","$51,145",,,,,"$83,214","$81,742","$13,038",N/A,$706,N/A,"$1,551",N/A,$331,N/A,"$14,589",N/A,"$1,037",N/A,"$15,626",
2019,Aiken County Public School District,Aiken Elementary School,0201016,E,68.72,63.9,"$53,493","$51,557",,,,,"$83,214","$81,742","$6,484",N/A,$673,N/A,$749,N/A,$373,N/A,"$7,233",N/A,"$1,047",N/A,"$8,279",
2019,Aiken County Public School District,Kennedy Middle School,0201017,M,48.82,43.2,"$54,172","$54,834",,,,,"$83,214","$81,742","$6,394",N/A,$626,N/A,$773,N/A,$194,N/A,"$7,167",N/A,$820,N/A,"$7,987",
2019,Aiken County Public School District,Belvedere Elementary,0201019,E,64,59.2,"$52,503","$51,939",,,,,"$83,214","$81,742","$6,549",N/A,$728,N/A,$710,N/A,$287,N/A,"$7,260",N/A,"$1,016",N/A,"$8,275",
2019,Aiken County Public School District,Byrd Elementary,0201021,E,63.57,61.5,"$48,300","$48,104",,,,,"$83,214","$81,742","$6,083",N/A,$502,N/A,$777,N/A,$324,N/A,"$6,860",N/A,$826,N/A,"$7,686",
2019,Aiken County Public School District,J.D. Lever Elementary School,0201022,E,82.19,79.5,"$53,083","$53,335",,,,,"$83,214","$81,742","$7,107",N/A,$809,N/A,$745,N/A,$517,N/A,"$7,852",N/A,"$1,325",N/A,"$9,178",
2019,Aiken County Public School District,Clearwater Elementary,0201024,E,84.69,81.9,"$53,354","$51,698",,,,,"$83,214","$81,742","$6,880",N/A,$844,N/A,$780,N/A,$623,N/A,"$7,660",N/A,"$1,467",N/A,"$9,127",
2019,Aiken County Public School District,East Aiken School Of The Arts,0201027,E,73.91,73.3,"$51,648","$49,301",,,,,"$83,214","$81,742","$6,893",N/A,"$1,084",N/A,$761,N/A,$450,N/A,"$7,654",N/A,"$1,534",N/A,"$9,188",
2019,Aiken County Public School District,Schofield Middle School,0201028,M,73.35,67.3,"$50,695","$49,847",,,,,"$83,214","$81,742","$6,381",N/A,$648,N/A,$903,N/A,$298,N/A,"$7,284",N/A,$946,N/A,"$8,230",
2019,Aiken County Public School District,Gloverville Elementary School,0201029,E,78.02,80.1,"$51,068","$50,046",,,,,"$83,214","$81,742","$8,149",N/A,"$1,108",N/A,$820,N/A,$377,N/A,"$8,970",N/A,"$1,484",N/A,"$10,454",
2019,Aiken County Public School District,Greendale Elementary,0201030,E,81.77,79.0,"$50,317","$46,902",,,,,"$83,214","$81,742","$7,232",N/A,"$1,135",N/A,$766,N/A,$414,N/A,"$7,998",N/A,"$1,549",N/A,"$9,547",
2019,Aiken County Public School District,Hammond Hill Elementary,0201031,E,53.43,52.4,"$55,835","$55,019",,,,,"$83,214","$81,742","$6,694",N/A,$372,N/A,$734,N/A,$290,N/A,"$7,428",N/A,$661,N/A,"$8,090",
2019,Aiken County Public School District,Jackson Stem Magnet Middle School,0201033,M,68.7,61.3,"$51,003","$54,462",,,,,"$83,214","$81,742","$8,527",N/A,$817,N/A,$921,N/A,$347,N/A,"$9,447",N/A,"$1,164",N/A,"$10,611",
2019,Aiken County Public School District,Millbrook Elementary,0201035,E,65.4,67.6,"$54,677","$54,764",,,,,"$83,214","$81,742","$7,683",N/A,$627,N/A,$792,N/A,$349,N/A,"$8,475",N/A,$976,N/A,"$9,451",
2019,Aiken County Public School District,North Aiken Elementary School,0201038,E,92.61,91.7,"$53,395","$51,101",,,,,"$83,214","$81,742","$8,274",N/A,"$1,190",N/A,$814,N/A,$529,N/A,"$9,088",N/A,"$1,719",N/A,"$10,806",
2019,Aiken County Public School District,North Augusta Elementary,0201039,E,61.68,57.2,"$49,245","$49,542",,,,,"$83,214","$81,742","$6,867",N/A,$544,N/A,$795,N/A,$260,N/A,"$7,662",N/A,$804,N/A,"$8,467",
2019,Aiken County Public School District,Cyril B. Busbee Elementary School,0201051,E,84.52,,"$51,702",,,,,,"$83,214","$81,742",,,,,,,,,,,,,,
2019,Aiken County Public School District,Warrenville Elementary,0201052,E,76.34,75.8,"$52,689","$53,409",,,,,"$83,214","$81,742","$7,391",N/A,"$1,113",N/A,$762,N/A,$516,N/A,"$8,153",N/A,"$1,629",N/A,"$9,782",
2019,Aiken County Public School District,Oakwood Windsor Elementary,0201054,E,87.06,84.7,"$53,500","$50,679",,,,,"$83,214","$81,742","$7,378",N/A,"$1,122",N/A,$828,N/A,$706,N/A,"$8,206",N/A,"$1,828",N/A,"$10,034",
2019,Aiken County Public School District,Redcliffe Elementary,0201055,E,77.55,70.8,"$50,463","$49,616",,,,,"$83,214","$81,742","$6,455",N/A,$703,N/A,$782,N/A,$372,N/A,"$7,236",N/A,"$1,075",N/A,"$8,311",
2019,Aiken County Public School District,Chukker Creek Elementary,0201056,E,45.53,35.7,"$52,730","$52,714",,,,,"$83,214","$81,742","$6,899",N/A,$628,N/A,$738,N/A,$186,N/A,"$7,636",N/A,$814,N/A,"$8,451",
2019,Aiken County Public School District,Aiken Middle School,0201057,M,83.64,82.3,"$48,887","$46,371",,,,,"$83,214","$81,742","$6,873",N/A,$921,N/A,$990,N/A,$372,N/A,"$7,862",N/A,"$1,292",N/A,"$9,155",
2019,Aiken County Public School District,Mossy Creek Elementary,0201058,E,73.44,66.3,"$52,048","$51,961",,,,,"$83,214","$81,742","$6,981",N/A,$676,N/A,$841,N/A,$305,N/A,"$7,822",N/A,$981,N/A,"$8,803",
2019,Aiken County Public School District,Ridge Spring-Monetta Elementary School,0201059,E,90.26,87.4,"$48,802","$51,177",,,,,"$83,214","$81,742","$7,933",N/A,$950,N/A,$880,N/A,$650,N/A,"$8,813",N/A,"$1,600",N/A,"$10,414",
2019,Aiken County Public School District,Ridge Spring-Monetta High School,0201060,H,74.7,77.6,"$56,278","$53,058",,,,,"$83,214","$81,742","$11,230",N/A,$831,N/A,"$1,315",N/A,$402,N/A,"$12,545",N/A,"$1,233",N/A,"$13,778",
2019,Aiken County Public School District,Ridge Spring-Monetta High School,0201060,H,74.7,77.6,"$56,278","$53,058",,,,,"$83,214","$81,742","$11,230",N/A,$831,N/A,"$1,315",N/A,$402,N/A,"$12,545",N/A,"$1,233",N/A,"$13,778",
2019,Aiken County Public School District,Aiken Scholars Academy,0201061,H,30.61,,"$64,560",,,,,,"$83,214","$81,742",,,,,,,,,,,,,,
2019,Aiken County Public School District,Ridge Spring-Monetta Middle School,0201062,M,83.5,,"$53,349",,,,,,"$83,214","$81,742",,,,,,,,,,,,,,
2019,Aiken County Public School District,A. L. Corbett Middle School,0201063,M,80.1,,"$58,420",,,,,,"$83,214","$81,742",,,,,,,,,,,,,,
2019,Aiken County Public School District,Lloyd-Kennedy Charter,0201601,E,77.42,78.8,"$48,000","$48,000",,,,,"$83,214","$81,742","$9,133",N/A,$541,N/A,"$2,388",N/A,$528,N/A,"$11,521",N/A,"$1,069",N/A,"$12,590",
2019,Aiken County Public School District,Lloyd-Kennedy Charter,0201601,M,77.42,78.8,"$48,000","$48,000",,,,,"$83,214","$81,742","$9,133",N/A,$541,N/A,"$2,388",N/A,$528,N/A,"$11,521",N/A,"$1,069",N/A,"$12,590",
2019,Aiken County Public School District,Horse Creek Academy,0201602,E,50.27,51.4,"$43,281","$42,595",,,,,"$83,214","$81,742","$6,571",N/A,$231,N/A,"$1,507",N/A,$128,N/A,"$8,078",N/A,$359,N/A,"$8,437",
2019,Aiken County Public School District,Horse Creek Academy,0201602,M,50.27,51.4,"$43,281","$42,595",,,,,"$83,214","$81,742","$6,571",N/A,$231,N/A,"$1,507",N/A,$128,N/A,"$8,078",N/A,$359,N/A,"$8,437",
2019,Aiken County Public School District,Aiken Performing Arts Academy Charter,0201603,H,73.91,75.0,"$30,000",N/AV,,,,,"$83,214","$81,742","$8,388",N/A,$889,N/A,"$1,782",N/A,$264,N/A,"$10,169",N/A,"$1,153",N/A,"$11,322",
2019,Aiken County Public School District,Aiken County Public School District,0201999,D,65.47,62.7,"$52,134","$51,305",$57,$58,$51,$56,"$83,214","$81,742","$7,137",N/A,$631,N/A,$899,N/A,$320,N/A,"$8,036",N/A,$951,N/A,"$8,988","$8,893"
2019,Allendale County Schools,Allendale-Fairfax High,0301001,H,90.14,87.6,"$54,397","$53,949",,,,,"$79,864","$75,224","$9,820",N/A,"$1,290",N/A,"$4,279",N/A,$425,N/A,"$14,099",N/A,"$1,715",N/A,"$15,814",
2019,Allendale County Schools,Allendale Elementary School,0301004,E,93.6,95.6,"$50,288","$44,989",,,,,"$79,864","$75,224","$7,940",N/A,"$1,165",N/A,"$3,600",N/A,$718,N/A,"$11,540",N/A,"$1,883",N/A,"$13,423",
2019,Allendale County Schools,Fairfax Elementary School,0301006,P,96.13,93.5,"$48,243","$44,621",,,,,"$79,864","$75,224","$8,037",N/A,"$1,252",N/A,"$3,128",N/A,$432,N/A,"$11,165",N/A,"$1,684",N/A,"$12,849",
2019,Allendale County Schools,Allendale-Fairfax Middle School,0301008,M,97.07,96.3,"$46,561","$44,064",,,,,"$79,864","$75,224","$11,292",N/A,$978,N/A,"$4,029",N/A,$457,N/A,"$15,321",N/A,"$1,435",N/A,"$16,756",
2019,Allendale County Schools,Allendale County Schools,0301999,D,94.19,92.8,"$50,177","$47,682",$45,$46,$36,$41,"$79,864","$75,224","$8,887",N/A,"$1,205",N/A,"$3,704",N/A,$520,N/A,"$12,590",N/A,"$1,725",N/A,"$14,316","$15,579"
2019,Anderson School District One,Palmetto High School,0401001,H,56.12,55.5,"$49,116","$50,311",,,,,"$97,994","$94,324","$6,766",N/A,$482,N/A,$852,N/A,$203,N/A,"$7,617",N/A,$685,N/A,"$8,302",
